2026-04-16T16:27:42.421Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting.projA","logFile":".setting.projA/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-04-16T16:27:42.423Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{},"elicitation":{"form":{},"url":{}}},"clientInfo":{"name":"claude-code","version":"2.1.86"}} | SUCCESS | RESPONSE: null
2026-04-16T16:27:42.423Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{},"elicitation":{"form":{},"url":{}}},"clientInfo":{"name":"claude-code","version":"2.1.86"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false},"roots":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-04-16T16:27:42.427Z | connection_pool_error | {"error":"connect ECONNREFUSED 127.0.0.1:3306"} | connect ECONNREFUSED 127.0.0.1:3306 | RESPONSE: null
2026-04-16T16:27:42.427Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-04-16T16:27:42.427Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"projA_sql_query","description":"[MyProject] Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"projA_get_database_info","description":"[MyProject] Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"projA_get_operation_logs","description":"[MyProject] Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"projA_check_permissions","description":"[MyProject] Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"projA_get_ddl_sql_logs","description":"[MyProject] Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":true,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"127.0.0.1","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"zaoxs","TOOL_PREFIX":"projA","PROJECT_NAME":"MyProject","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-04-16T16:27:42.566Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting.projA","logFile":".setting.projA/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-04-16T16:27:42.567Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{},"elicitation":{"form":{},"url":{}}},"clientInfo":{"name":"claude-code","version":"2.1.86"}} | SUCCESS | RESPONSE: null
2026-04-16T16:27:42.567Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{},"elicitation":{"form":{},"url":{}}},"clientInfo":{"name":"claude-code","version":"2.1.86"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false},"roots":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-04-16T16:27:42.698Z | connection_pool_created | {"host":"118.178.179.162","port":3306,"database":"zaoxs","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-04-16T16:27:42.698Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-04-16T16:27:42.698Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"projA_sql_query","description":"[MyProject] Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"projA_get_database_info","description":"[MyProject] Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"projA_get_operation_logs","description":"[MyProject] Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"projA_check_permissions","description":"[MyProject] Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"projA_get_ddl_sql_logs","description":"[MyProject] Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":true,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"118.178.179.162","MYSQL_PORT":"3306","MYSQL_USER":"zaoxs","MYSQL_DATABASE":"zaoxs","TOOL_PREFIX":"projA","PROJECT_NAME":"MyProject","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-04-16T16:27:43.302Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting.projA","logFile":".setting.projA/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-04-16T16:27:43.303Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{},"elicitation":{"form":{},"url":{}}},"clientInfo":{"name":"claude-code","version":"2.1.86"}} | SUCCESS | RESPONSE: null
2026-04-16T16:27:43.303Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{},"elicitation":{"form":{},"url":{}}},"clientInfo":{"name":"claude-code","version":"2.1.86"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false},"roots":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-04-16T16:27:43.362Z | connection_pool_error | {"error":"Host '220.160.26.110' is not allowed to connect to this MySQL server"} | Host '220.160.26.110' is not allowed to connect to this MySQL server | RESPONSE: null
2026-04-16T16:27:43.362Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-04-16T16:27:43.362Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"projA_sql_query","description":"[MyProject] Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"projA_get_database_info","description":"[MyProject] Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"projA_get_operation_logs","description":"[MyProject] Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"projA_check_permissions","description":"[MyProject] Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"projA_get_ddl_sql_logs","description":"[MyProject] Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":true,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"120.79.1.157","MYSQL_PORT":"3306","MYSQL_USER":"zaoxs","MYSQL_DATABASE":"zaoxs","TOOL_PREFIX":"projA","PROJECT_NAME":"MyProject","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-04-16T16:32:42.429Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-04-16T16:32:42.431Z | connection_pool_recreate_error | {"error":"connect ECONNREFUSED 127.0.0.1:3306"} | connect ECONNREFUSED 127.0.0.1:3306 | RESPONSE: null
2026-04-16T16:32:42.431Z | health_check_error | {"error":"connect ECONNREFUSED 127.0.0.1:3306"} | connect ECONNREFUSED 127.0.0.1:3306 | RESPONSE: null
2026-04-16T16:32:43.418Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-04-16T16:32:43.467Z | connection_pool_recreate_error | {"error":"Host '220.160.26.110' is not allowed to connect to this MySQL server"} | Host '220.160.26.110' is not allowed to connect to this MySQL server | RESPONSE: null
2026-04-16T16:32:43.467Z | health_check_error | {"error":"Host '220.160.26.110' is not allowed to connect to this MySQL server"} | Host '220.160.26.110' is not allowed to connect to this MySQL server | RESPONSE: null
2026-04-16T16:37:42.434Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-04-16T16:37:42.435Z | connection_pool_recreate_error | {"error":"connect ECONNREFUSED 127.0.0.1:3306"} | connect ECONNREFUSED 127.0.0.1:3306 | RESPONSE: null
2026-04-16T16:37:42.436Z | health_check_error | {"error":"connect ECONNREFUSED 127.0.0.1:3306"} | connect ECONNREFUSED 127.0.0.1:3306 | RESPONSE: null
2026-04-16T16:37:43.405Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-04-16T16:37:43.459Z | connection_pool_recreate_error | {"error":"Host '220.160.26.110' is not allowed to connect to this MySQL server"} | Host '220.160.26.110' is not allowed to connect to this MySQL server | RESPONSE: null
2026-04-16T16:37:43.459Z | health_check_error | {"error":"Host '220.160.26.110' is not allowed to connect to this MySQL server"} | Host '220.160.26.110' is not allowed to connect to this MySQL server | RESPONSE: null
